1, 'Ground Dive', 'Health & Poise', 'The Giant Bats of Limgrave are nocturnal creatures and often rest during the day, unless they are disturbed.', 'Giant Bat', 'Confessor', 'Fire', 1,101
2, 'Swift Strikes', 'Dexterity & Speed', 'Agile and aggressive creatures found in the Murkwater Cave.', 'Murkwater Skeleton', 'Bandit', 'Blunt', 2,101
24, 'Bone Breaker', 'Strength & Brutality', 'Brutish warriors dwelling in the Bonecrusher Caverns.', 'Bonecrusher Brute', 'Berserker', 'Ice', 2, 101
25, 'Acidic Spray', 'Intelligence & Corrosion', 'Corrosive creatures infesting the acidic pools of the Toxic Marshlands.', 'Toxic Marsh Aberration', 'Corruptor', 'Light', 1, 101
26, 'Shadow Bolt', 'Intelligence & Shadow', 'Dark sorcerers lurking in the shadowy depths of the Umbral Abyss.', 'Umbral Sorcerer', 'Necromancer', 'Holy', 5, 101
27, 'Blade Dance', 'Dexterity & Precision', 'Masters of blade wielding found in the Blade Dance Temple.', 'Blade Dancer', 'Swordmaster', 'Fire', 3, 101
28, 'Mind Blast', 'Intelligence & Mind', 'Psionic entities dwelling in the depths of the Psionic Nexus.', 'Psionic Entity', 'Mindbender', 'Physical', 2, 101
29, 'Frost Nova', 'Intelligence & Frost', 'Ice witches guarding the icy fortress of Frostpeak Citadel.', 'Frostpeak Witch', 'Ice Witch', 'Fire', 4, 101
30, 'Deaths Grasp', 'Intelligence & Death', 'Necromancers summoning the dead in the Necropolis of Eldritch.', 'Eldritch Necromancer', 'Gravekeeper', 'Holy', 5, 101
31, 'Venomous Bite', 'Strength & Poison', 'Giant spiders lurking in the tangled webs of the Arachnid Caverns.', 'Arachnid Queen', 'Spider', 'Fire', 2, 101
32, 'Solar Flare', 'Intelligence & Solar', 'Celestial beings guarding the radiant halls of the Solar Sanctum.', 'Solar Guardian', 'Celestial', 'Shadow', 4, 101
33, 'Void Blast', 'Intelligence & Void', 'Void cultists channeling the power of the void in the Abyssal Depths.', 'Abyssal Cultist', 'Voidcaller', 'Light', 3, 101
34, 'Thunderous Roar', 'Strength & Thunder', 'Thunder beasts inhabiting the stormy peaks of Thunderpeak Mountains.', 'Thunderpeak Beast', 'Thunderlord', 'Ice', 1, 101
35, 'Searing Beam', 'Intelligence & Heat', 'Fire elementals guarding the blazing depths of the Infernal Forge.', 'Infernal Elemental', 'Fire Elemental', 'Water', 5, 101
36, 'Shadowstep', 'Dexterity & Shadow', 'Shadow assassins lurking in the depths of the Shadowed Woods.', 'Shadowed Assassin', 'Nightblade', 'Light', 2, 101
37, 'Blizzard', 'Intelligence & Frost', 'Blizzard elementals roaming the frozen wastes of Frostwind Glacier.', 'Frostwind Blizzard Elemental', 'Ice Elemental', 'Fire', 4, 101
38, 'Soul Drain', 'Intelligence & Soul', 'Soul reapers haunting the cursed grounds of the Souls Bane Crypt.', 'Souls Bane Reaper', 'Soul Reaper', 'Holy', 3, 101
39, 'Chaos Bolt', 'Intelligence & Chaos', 'Chaos mages harnessing the chaotic energies of the Chaos Rift.', 'Chaos Rift Mage', 'Chaos Mage', 'Order', 1, 101
40, 'Abyssal Slam', 'Strength & Abyss', 'Abyssal horrors dwelling in the depths of the Abyssal Chasm.', 'Abyssal Horror', 'Abyssal', 'Light', 5, 101
41, 'Blade Storm', 'Dexterity & Blade', 'Blade masters honing their skills in the Blade Storm Dojo.', 'Blade Storm Master', 'Blade Master', 'Fire', 3, 101
42, 'Necrotic Aura', 'Intelligence & Necrotic', 'Necrotic beings emanating death in the Necrotic Wasteland.', 'Necrotic Abomination', 'Deathbringer', 'Light', 4, 101
43, 'Frostbite', 'Intelligence & Frost', 'Frostbite elementals freezing the unwary in the Frostbite Caves.', 'Frostbite Elemental', 'Ice Elemental', 'Fire', 2, 101
44, 'Mind Control', 'Intelligence & Control', 'Mind-controlling entities in the depths of the Mind Control Nexus.', 'Mind Control Entity', 'Mind Manipulator', 'Light', 1, 101
45, 'Chaos Nova', 'Intelligence & Chaos', 'Chaos demons unleashing chaos in the Chaos Citadel.', 'Chaos Citadel Demon', 'Chaos Demon', 'Order', 5, 101
46, 'Solar Flare', 'Intelligence & Solar', 'Celestial beings guarding the radiant halls of the Solar Sanctum.', 'Solar Guardian', 'Celestial', 'Shadow', 4, 101
47, 'Void Blast', 'Intelligence & Void', 'Void cultists channeling the power of the void in the Abyssal Depths.', 'Abyssal Cultist', 'Voidcaller', 'Light', 3, 101
48, 'Thunderous Roar', 'Strength & Thunder', 'Thunder beasts inhabiting the stormy peaks of Thunderpeak Mountains.', 'Thunderpeak Beast', 'Thunderlord', 'Ice', 1, 101
49, 'Searing Beam', 'Intelligence & Heat', 'Fire elementals guarding the blazing depths of the Infernal Forge.', 'Infernal Elemental', 'Fire Elemental', 'Water', 5, 101
50, 'Shadowstep', 'Dexterity & Shadow', 'Shadow assassins lurking in the depths of the Shadowed Woods.', 'Shadowed Assassin', 'Nightblade', 'Light', 2, 101
51, 'Blizzard', 'Intelligence & Frost', 'Blizzard elementals roaming the frozen wastes of Frostwind Glacier.', 'Frostwind Blizzard Elemental', 'Ice Elemental', 'Fire', 4, 101
52, 'Soul Drain', 'Intelligence & Soul', 'Soul reapers haunting the cursed grounds of the Souls Bane Crypt.', 'Souls Bane Reaper', 'Soul Reaper', 'Holy', 3, 101
53, 'Chaos Bolt', 'Intelligence & Chaos', 'Chaos mages harnessing the chaotic energies of the Chaos Rift.', 'Chaos Rift Mage', 'Chaos Mage', 'Order', 1, 101
54, 'Abyssal Slam', 'Strength & Abyss', 'Abyssal horrors dwelling in the depths of the Abyssal Chasm.', 'Abyssal Horror', 'Abyssal', 'Light', 5, 101
55, 'Blade Storm', 'Dexterity & Blade', 'Blade masters honing their skills in the Blade Storm Dojo.', 'Blade Storm Master', 'Blade Master', 'Fire', 3, 101
56, 'Necrotic Aura', 'Intelligence & Necrotic', 'Necrotic beings emanating death in the Necrotic Wasteland.', 'Necrotic Abomination', 'Deathbringer', 'Light', 4, 101
57, 'Frostbite', 'Intelligence & Frost', 'Frostbite elementals freezing the unwary in the Frostbite Caves.', 'Frostbite Elemental', 'Ice Elemental', 'Fire', 2, 101
58, 'Mind Control', 'Intelligence & Control', 'Mind-controlling entities in the depths of the Mind Control Nexus.', 'Mind Control Entity', 'Mind Manipulator', 'Light', 1, 101
59, 'Chaos Nova', 'Intelligence & Chaos', 'Chaos demons unleashing chaos in the Chaos Citadel.', 'Chaos Citadel Demon', 'Chaos Demon', 'Order', 5, 101
60, 'Frozen Spear', 'Intelligence & Frost', 'Frozen spearmen guarding the icy fortress of Frostpeak Citadel.', 'Frostpeak Spearmen', 'Ice Warriors', 'Fire', 4, 101
61, 'Blighted Touch', 'Intelligence & Decay', 'Cursed beings lurking in the depths of the Blightwood.', 'Blightwood Wraith', 'Necrotic', 'Holy', 3, 101
62, 'Abyssal Roar', 'Strength & Abyss', 'Abyssal monsters dwelling in the abyssal pits of the Voidrealm.', 'Voidrealm Behemoth', 'Abyssal', 'Light', 5, 101
63, 'Crimson Slash', 'Strength & Blood', 'Bloodthirsty warriors of the Crimson Legion.', 'Crimson Legionnaire', 'Blood Knight', 'Light', 2, 101
64, 'Thunderstorm', 'Intelligence & Thunder', 'Storm elementals reigning over the stormy peaks of Thunderpeak Mountains.', 'Thunderpeak Storm Elemental', 'Storm Elemental', 'Ice', 1, 101
65, 'Inferno Blast', 'Intelligence & Fire', 'Infernal demons guarding the gates of the Infernal Citadel.', 'Infernal Citadel Demon', 'Infernal', 'Water', 5, 101
66, 'Shadow Assault', 'Dexterity & Shadow', 'Shadow assassins striking from the shadows in the Shadowed Woods.', 'Shadowed Woods Assassin', 'Nightstalker', 'Light', 2, 101
67, 'Frostbite Aura', 'Intelligence & Frost', 'Frostbite elementals freezing their surroundings in the Frostbite Caves.', 'Frostbite Elemental', 'Ice Elemental', 'Fire', 4, 101
68, 'Soul Drain', 'Intelligence & Soul', 'Soul reapers consuming the essence of their victims in the Souls Bane Crypt.', 'Souls Bane Revenant', 'Soul Drainer', 'Holy', 3, 101
69, 'Chaos Bolt', 'Intelligence & Chaos', 'Chaos mages hurling bolts of chaotic energy in the Chaos Rift.', 'Chaos Rift Sorcerer', 'Chaos Sorcerer', 'Order', 1, 101
70, 'Abyssal Strike', 'Strength & Abyss', 'Abyssal warriors emerging from the depths of the Abyssal Chasm.', 'Abyssal Marauder', 'Abyssal Warrior', 'Light', 5, 101
71, 'Blade Dance', 'Dexterity & Precision', 'Masters of the blade performing intricate dances in the Blade Dance Temple.', 'Blade Dance Master', 'Blademaster', 'Fire', 3, 101
72, 'Necrotic Aura', 'Intelligence & Necrotic', 'Necrotic energy emanating from the cursed lands of the Necrotic Wasteland.', 'Necrotic Wraith', 'Deathbringer', 'Light', 4, 101
73, 'Frostbite', 'Intelligence & Frost', 'Frostbite elementals freezing the unwary in the Frostbite Caves.', 'Frostbite Elemental', 'Ice Elemental', 'Fire', 2, 101
74, 'Mind Control', 'Intelligence & Control', 'Mind-controlling entities in the depths of the Mind Control Nexus.', 'Mind Control Entity', 'Mind Manipulator', 'Light', 1, 101
75, 'Chaos Nova', 'Intelligence & Chaos', 'Chaos demons unleashing chaos in the Chaos Citadel.', 'Chaos Citadel Demon', 'Chaos Demon', 'Order', 5, 101
76, 'Frozen Lance', 'Intelligence & Frost', 'Ice mages guarding the Frozen Peak.', 'Frozen Peak Mage', 'Cryomancer', 'Fire', 4, 101
77, 'Decaying Touch', 'Intelligence & Decay', 'Decaying entities lurking in the Decrepit Ruins.', 'Decrepit Wraith', 'Necromancer', 'Holy', 3, 101
78, 'Abyssal Fury', 'Strength & Abyss', 'Furious abyssal creatures in the Abyssal Depths.', 'Abyssal Berserker', 'Abyssal', 'Light', 5, 101
79, 'Bloodthirsty Assault', 'Strength & Bloodlust', 'Savage warriors roaming the Bloodied Plains.', 'Bloodied Berserker', 'Warrior', 'Light', 2, 101
80, 'Thunderous Shockwave', 'Strength & Thunder', 'Thunderous giants residing in the Thundering Peaks.', 'Thundering Giant', 'Titan', 'Ice', 1, 101
81, 'Infernal Conflagration', 'Intelligence & Fire', 'Infernal lords guarding the Gates of Inferno.', 'Infernal Lord', 'Demon', 'Water', 5, 101
82, 'Shadow Veil', 'Dexterity & Shadow', 'Shadowy assassins lurking in the Veiled Forest.', 'Veiled Assassin', 'Rogue', 'Light', 2, 101
83, 'Frostbite Aura', 'Intelligence & Frost', 'Cold aura emanating from Frostbite Caverns.', 'Frostbite Guardian', 'Ice Elemental', 'Fire', 4, 101
84, 'Soul Devour', 'Intelligence & Soul', 'Souls reaping entities in the Soul Harvest Fields.', 'Soul Harvester', 'Reaper', 'Holy', 3, 101
85, 'Chaos Surge', 'Intelligence & Chaos', 'Chaotic energies surging in the Chaos Nexus.', 'Chaos Surgeon', 'Sorcerer', 'Order', 1, 101
86, 'Abyssal Terror', 'Strength & Abyss', 'Terrifying abyssal creatures haunting the Abyssal Trench.', 'Abyssal Terror', 'Abyssal', 'Light', 5, 101
87, 'Blade Fury', 'Dexterity & Blade', 'Furious blade masters in the Fury Blade Dojo.', 'Fury Blade Master', 'Blademaster', 'Fire', 3, 101
88, 'Necrotic Emanation', 'Intelligence & Necrotic', 'Necrotic energy emanating from the Necrotic Wasteland.', 'Necrotic Emanator', 'Deathbringer', 'Light', 4, 101
89, 'Frostbite', 'Intelligence & Frost', 'Frostbite elementals freezing the unwary in the Frostbite Caves.', 'Frostbite Elemental', 'Ice Elemental', 'Fire', 2, 101
90, 'Mind Control', 'Intelligence & Control', 'Mind-controlling entities in the depths of the Mind Control Nexus.', 'Mind Control Entity', 'Mind Manipulator', 'Light', 1, 101
91, 'Chaos Nova', 'Intelligence & Chaos', 'Chaos demons unleashing chaos in the Chaos Citadel.', 'Chaos Citadel Demon', 'Chaos Demon', 'Order', 5, 101
92, 'Frostbite Aura', 'Intelligence & Frost', 'Chilling aura emanating from the Frostbite Caves.', 'Frostbite Wraith', 'Ice Elemental', 'Fire', 4, 101
93, 'Soul Drain', 'Intelligence & Soul', 'Soul-draining specters haunting the Haunted Mausoleum.', 'Haunted Specter', 'Soul Reaper', 'Holy', 3, 101
94, 'Chaos Surge', 'Intelligence & Chaos', 'Surges of chaotic energy pulsating in the Chaotic Nexus.', 'Chaotic Surge', 'Chaos Sorcerer', 'Order', 1, 101
95, 'Abyssal Terror', 'Strength & Abyss', 'Terrifying abyssal entities lurking in the Depths of Despair.', 'Despair Abyssal', 'Abyssal', 'Light', 5, 101
96, 'Blade Fury', 'Dexterity & Blade', 'Furious blade dancers in the Dance of Blades Academy.', 'Blade Dance Fury', 'Blademaster', 'Fire', 3, 101
97, 'Necrotic Emanation', 'Intelligence & Necrotic', 'Necrotic energies radiating from the Necrotic Plains.', 'Necrotic Emissary', 'Deathbringer', 'Light', 4, 101
98, 'Frostbite', 'Intelligence & Frost', 'Frostbite elementals chilling the Frostbite Caves.', 'Frostbite Spirit', 'Ice Elemental', 'Fire', 2, 101
99, 'Mind Control', 'Intelligence & Control', 'Mind-controlling entities in the depths of the Control Nexus.', 'Mind Manipulation Master', 'Mind Manipulator', 'Light', 1, 101
100, 'Shadowmeld', 'Dexterity & Stealth', 'Shadowy creatures blending into the darkness of the Midnight Forest.', 'Midnight Shadow', 'Shadow', 'Light', 2, 101
101, 'Frostbite Aura', 'Intelligence & Frost', 'Cold aura emanating from Frostbite Caverns.', 'Frostbite Guardian', 'Ice Elemental', 'Fire', 4, 101
102, 'Soul Devour', 'Intelligence & Soul', 'Souls reaping entities in the Soul Harvest Fields.', 'Soul Harvester', 'Reaper', 'Holy', 3, 101
103, 'Chaos Surge', 'Intelligence & Chaos', 'Chaotic energies surging in the Chaos Nexus.', 'Chaos Surgeon', 'Sorcerer', 'Order', 1, 101
104, 'Abyssal Terror', 'Strength & Abyss', 'Terrifying abyssal creatures haunting the Abyssal Trench.', 'Abyssal Terror', 'Abyssal', 'Light', 5, 101
105, 'Blade Fury', 'Dexterity & Blade', 'Furious blade masters in the Fury Blade Dojo.', 'Fury Blade Master', 'Blademaster', 'Fire', 3, 101
106, 'Necrotic Emanation', 'Intelligence & Necrotic', 'Necrotic energy emanating from the Necrotic Wasteland.', 'Necrotic Emanator', 'Deathbringer', 'Light', 4, 101
107, 'Frostbite', 'Intelligence & Frost', 'Frostbite elementals freezing the unwary in the Frostbite Caves.', 'Frostbite Elemental', 'Ice Elemental', 'Fire', 2, 101
108, 'Mind Control', 'Intelligence & Control', 'Mind-controlling entities in the depths of the Mind Control Nexus.', 'Mind Control Entity', 'Mind Manipulator', 'Light', 1, 101
109, 'Chaos Nova', 'Intelligence & Chaos', 'Chaos demons unleashing chaos in the Chaos Citadel.', 'Chaos Citadel Demon', 'Chaos Demon', 'Order', 5, 101
110, 'Shadow Strike', 'Dexterity & Stealth', 'Shadowy assassins lurking in the shadows of the Darkwood Forest.', 'Darkwood Shadow', 'Assassin', 'Light', 2, 101
111, 'Frostbite Aura', 'Intelligence & Frost', 'Icy aura surrounding the Frostbite Caverns.', 'Frostbite Guardian', 'Ice Elemental', 'Fire', 4, 101
112, 'Soul Devour', 'Intelligence & Soul', 'Souls reaping entities haunting the Soul Harvest Fields.', 'Soul Harvester', 'Reaper', 'Holy', 3, 101
113, 'Chaos Surge', 'Intelligence & Chaos', 'Chaotic surge emanating from the Chaos Nexus.', 'Chaos Surgeon', 'Sorcerer', 'Order', 1, 101
114, 'Abyssal Terror', 'Strength & Abyss', 'Terrifying abyssal creatures emerging from the depths of the Abyssal Trench.', 'Abyssal Terror', 'Abyssal', 'Light', 5, 101
115, 'Blade Fury', 'Dexterity & Blade', 'Furious blade masters honing their skills in the Fury Blade Dojo.', 'Fury Blade Master', 'Blademaster', 'Fire', 3, 101
116, 'Necrotic Emanation', 'Intelligence & Necrotic', 'Necrotic energy emanating from the cursed lands of the Necrotic Wasteland.', 'Necrotic Emanator', 'Deathbringer', 'Light', 4, 101
117, 'Frostbite', 'Intelligence & Frost', 'Frostbite elementals freezing the unwary in the Frostbite Caves.', 'Frostbite Elemental', 'Ice Elemental', 'Fire', 2, 101
118, 'Mind Control', 'Intelligence & Control', 'Mind-controlling entities in the depths of the Mind Control Nexus.', 'Mind Control Entity', 'Mind Manipulator', 'Light', 1, 101
119, 'Chaos Nova', 'Intelligence & Chaos', 'Chaos demons unleashing chaos in the Chaos Citadel.', 'Chaos Citadel Demon', 'Chaos Demon', 'Order', 5, 101
120, 'Frozen Blade', 'Strength & Frost', 'Blades infused with icy magic in the Frostfire Peaks.', 'Frostfire Blade', 'Ice Warrior', 'Fire', 4, 101
